uniprot_acc	uniprot_name	seq_len	uniprot_description	uniprot_organism	seq_mw
A0A024R1R8	ENSG00000225528	64	Coiled-coil domain-containing protein 72	HUMAN	8226.46
A0A024RBG1	NUDT4B	181	Diphosphoinositol polyphosphate phosphohydrolase NUDT4B	HUMAN	23677.16
A0A024RCN7	SNHG32	75	Chromosome 6 open reading frame 48, isoform CRA_a	HUMAN	9676.85
A0A075B6H5	TRBV20OR9-2	130	Ig-like domain-containing protein	HUMAN	16605.59
A0A075B6H7	IGKV3-7	116	Probable non-functional immunoglobulin kappa variable 3-7	HUMAN	14855.4
A0A075B6H8	IGKV1D-42	117	Probable non-functional immunoglobulin kappa variable 1D-42	HUMAN	15103.96
A0A075B6H9	IGLV4-69	119	Immunoglobulin lambda variable 4-69	HUMAN	14899.25
A0A075B6I0	IGLV8-61	122	Immunoglobulin lambda variable 8-61	HUMAN	14994.38
A0A075B6I1	IGLV4-60	120	Immunoglobulin lambda variable 4-60	HUMAN	15131.46
A0A075B6I3	IGLV11-55	123	Probable non-functional immunoglobulin lambda variable 11-55	HUMAN	15399.94
A0A075B6I4	IGLV10-54	117	Immunoglobulin lambda variable 10-54	HUMAN	14484.82
A0A075B6I6	IGLV1-50	118	Probable non-functional immunoglobulin lambda variable 1-50	HUMAN	14446.69
A0A075B6I7	IGLV5-48	105	Probable non-functional immunoglobulin lambda variable 5-48	HUMAN	13120.46
A0A075B6I9	IGLV7-46	117	Immunoglobulin lambda variable 7-46	HUMAN	14558
A0A075B6J1	IGLV5-37	123	Immunoglobulin lambda variable 5-37	HUMAN	15474.83
A0A075B6J2	IGLV2-33	118	Probable non-functional immunoglobulin lambda variable 2-33	HUMAN	14794.14
A0A075B6J6	IGLV3-22	115	Immunoglobulin lambda variable 3-22	HUMAN	14602.68
A0A075B6J9	IGLV2-18	118	Immunoglobulin lambda variable 2-18	HUMAN	14519.62
A0A075B6K0	IGLV3-16	115	Immunoglobulin lambda variable 3-16	HUMAN	14520.01
A0A075B6K2	IGLV3-12	115	Immunoglobulin lambda variable 3-12	HUMAN	14440.62
A0A075B6K4	IGLV3-10	115	Immunoglobulin lambda variable 3-10	HUMAN	14494.73
A0A075B6K5	IGLV3-9	115	Immunoglobulin lambda variable 3-9	HUMAN	14385.65
A0A075B6K6	IGLV4-3	122	Immunoglobulin lambda variable 4-3	HUMAN	15509.92
A0A075B6L2	TRGV11	103	IGv domain-containing protein	HUMAN	13618.28
A0A075B6L6	TRBV7-3	115	IGv domain-containing protein	HUMAN	14463.93
A0A075B6N1	TRBV19	114	T cell receptor beta variable 19	HUMAN	14805.41
A0A075B6N2	TRBV20-1	111	T cell receptor beta variable 20-1	HUMAN	14156.92
A0A075B6N3	TRBV24-1	115	T cell receptor beta variable 24-1	HUMAN	14982.66
A0A075B6N4	TRBV25-1	114	T cell receptor beta variable 25-1	HUMAN	15018.62
A0A075B6P5	IGKV2-28	120	Immunoglobulin kappa variable 2-28	HUMAN	15100.74
A0A075B6Q5	IGHV3-64	118	Immunoglobulin heavy variable 3-64	HUMAN	14998.64
A0A075B6R0	TRGV2	118	T cell receptor gamma variable 2	HUMAN	15417.88
A0A075B6R2	IGHV4-4	117	Immunoglobulin heavy variable 4-4	HUMAN	14937.63
A0A075B6R9	IGKV2D-24	120	Probable non-functional immunoglobulin kappa variable 2D-24	HUMAN	15222.91
A0A075B6S0	TRGJ1	16	T cell receptor gamma joining 1	HUMAN	2061.32
A0A075B6S2	IGKV2D-29	120	Immunoglobulin kappa variable 2D-29	HUMAN	15287.12
A0A075B6S4	IGKV1D-17	117	Immunoglobulin kappa variable 1D-17	HUMAN	14924.64
A0A075B6S5	IGKV1-27	117	Immunoglobulin kappa variable 1-27	HUMAN	14801.47
A0A075B6S6	IGKV2D-30	120	Immunoglobulin kappa variable 2D-30	HUMAN	15358.96
A0A075B6S9	IGKV1-37	117	Probable non-functional immunoglobulinn kappa variable 1-37	HUMAN	14778.38
A0A075B6T6	TRAV12-2	113	T cell receptor alpha variable 12-2	HUMAN	14855.38
A0A075B6T7	TRAV6	132	T cell receptor alpha variable 6	HUMAN	17721.93
A0A075B6T8	TRAV9-1	112	T cell receptor alpha variable 9-1	HUMAN	14353.69
A0A075B6U4	TRAV7	112	T cell receptor alpha variable 7	HUMAN	14598.25
A0A075B6U6	TRAV8-7	113	Ig-like domain-containing protein	HUMAN	14758.56
A0A075B6U7	TRAJ23	21	T cell receptor alpha joining 23	HUMAN	NA
A0A075B6U8	TRAJ12	20	T cell receptor alpha joining 12	HUMAN	NA
A0A075B6U9	TRAJ2	22	T cell receptor alpha joining 2 (non-functional)	HUMAN	NA
A0A075B6V0	TRAJ16	20	T cell receptor alpha joining 16	HUMAN	NA
A0A075B6V1	TRAJ43	18	T cell receptor alpha joining 43	HUMAN	NA
A0A075B6V2	TRAJ21	18	T cell receptor alpha joining 21	HUMAN	2430.69
A0A075B6V3	TRAJ48	21	T cell receptor alpha joining 48	HUMAN	NA
A0A075B6V5	TRAV36DV7	113	T cell receptor alpha variable 36/delta variable 7	HUMAN	14714.73
A0A075B6V6	TRDJ2	18	T cell receptor delta joining 2	HUMAN	NA
A0A075B6V7	TRAJ26	20	T cell receptor alpha joining 26	HUMAN	NA
A0A075B6V8	TRAJ5	20	T cell receptor alpha joining 5	HUMAN	NA
A0A075B6V9	TRAJ59	18	T cell receptor alpha joining 59 (non-functional)	HUMAN	NA
A0A075B6W1	TRDJ3	20	T cell receptor delta joining 3	HUMAN	NA
A0A075B6W2	TRAJ52	23	T cell receptor alpha joining 52	HUMAN	NA
A0A075B6W3	TRAJ33	19	T cell receptor alpha joining 33	HUMAN	NA
A0A075B6W4	TRAJ46	21	T cell receptor alpha joining 46	HUMAN	NA
A0A075B6W5	TRAV23DV6	121	T cell receptor alpha variable 23/delta variable 6	HUMAN	15707.49
A0A075B6W6	TRAJ27	20	T cell receptor alpha joining 27	HUMAN	NA
A0A075B6W7	TRAJ38	21	T cell receptor alpha joining 38	HUMAN	NA
A0A075B6W8	TRAJ17	21	T cell receptor alpha joining 17	HUMAN	NA
A0A075B6W9	TRAJ53	22	T cell receptor alpha joining 53	HUMAN	NA
A0A075B6X0	TRAJ45	22	T cell receptor alpha joining 45	HUMAN	NA
A0A075B6X3	TRAJ32	22	T cell receptor alpha joining 32	HUMAN	NA
A0A075B6X4	TRAJ28	22	T cell receptor alpha joining 28	HUMAN	NA
A0A075B6X5	TRAV18	111	T cell receptor alpha variable 18	HUMAN	14395.79
A0A075B6X7	TRAJ50	20	T cell receptor alpha joining 50	HUMAN	NA
A0A075B6X8	TRAJ44	21	T cell receptor alpha joining 44	HUMAN	NA
A0A075B6X9	TRAJ18	22	T cell receptor alpha joining 18	HUMAN	NA
A0A075B6Y0	TRAJ49	19	T cell receptor alpha joining 49	HUMAN	NA
